country_a,country_b,probability,news_negativity,news_intensity,escalation_keywords,contiguity,distance_closeness,common_language,both_in_nato,mil_exp_mean,ucdp_recent_interstate,bias,w_news_negativity,w_news_intensity,w_escalation_keywords,w_contiguity,w_distance_closeness,w_common_language,w_both_in_nato,w_mil_exp_mean,w_ucdp_recent_interstate
Afghanistan,Albania,0.10230562807452309,0.0,0.0,0.0,0.0,0.11405682384434508,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Algeria,0.10119353649564712,0.0,0.0,0.0,0.0,0.05321749943362964,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Andorra,0.10122321030451198,0.0,0.0,0.0,0.0,0.054848551554635395,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Angola,0.09740471995809488,0.0,0.0,0.0,0.0,0.02228369575469335,0.0,0.0,0.37587482614207723,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Antigua and Barbuda,0.10026811839925988,0.0,0.0,0.0,0.0,0.0021365882454259175,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Argentina,0.09541583534694255,0.0,0.0,0.0,0.0,0.0004764012960399255,0.0,0.0,0.33483093744363335,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Armenia,0.1061895470665845,0.0,0.0,0.0,0.0,0.32204145483520313,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Australia,0.1004936906407221,0.0,0.0,0.0,0.0,0.0032904037545066797,0.0,0.0,0.46131288315817187,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Austria,0.09881042474419126,0.0,0.0,0.0,0.0,0.10187089527622112,0.0,0.0,0.37580731749333374,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Azerbaijan,0.11774469560013728,0.0,0.0,0.0,0.0,0.40207827314523886,0.0,0.0,0.6791590097311447,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bahamas,0.1002640771364439,0.0,0.0,0.0,0.0,0.001912603262991779,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bahrain,0.11091680885087063,0.0,0.0,0.0,0.0,0.36706475586271753,0.0,0.0,0.5448370885637938,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bangladesh,0.10222864189723037,0.0,0.0,0.0,0.0,0.3046812898586701,0.0,0.0,0.3696893564589486,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Barbados,0.10026500434857728,0.0,0.0,0.0,0.0,0.001963994243622368,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Belarus,0.10285027407834481,0.0,0.0,0.0,0.0,0.1436392975481456,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Belgium,0.10143843606440711,0.0,0.0,0.0,0.0,0.06666598007701623,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Belize,0.10024754712271196,0.0,0.0,0.0,0.0,0.000996351949346415,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Benin,0.10065861909627583,0.0,0.0,0.0,0.0,0.02374215782192711,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bhutan,0.10670858923905553,0.0,0.0,0.0,0.0,0.3493257189170481,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Bolivia, Plurinational State of",0.09850389305317421,0.0,0.0,0.0,0.0,0.0004643021650073455,0.0,0.0,0.41321663584382395,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bosnia and Herzegovina,0.09786928843212682,0.0,0.0,0.0,0.0,0.10922918385032694,0.0,0.0,0.3489500833106808,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Botswana,0.10402442815773331,0.0,0.0,0.0,0.0,0.018099273131452827,0.0,0.0,0.5402061200696238,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Brazil,0.09691762788250499,0.0,0.0,0.0,0.0,0.001022116297135475,0.0,0.0,0.3729849502688566,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Brunei Darussalam,0.10702962107824494,0.0,0.0,0.0,0.0,0.05666658906738562,0.0,0.0,0.5938197795963924,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bulgaria,0.10382601105316729,0.0,0.0,0.0,0.0,0.13245629990414534,0.0,0.0,0.4846459762748897,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Burkina Faso,0.10934922333754787,0.0,0.0,0.0,0.0,0.023546042955622282,0.0,0.0,0.6619667349187929,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Burundi,0.10757184745441949,0.0,0.0,0.0,0.0,0.05155899979268051,0.0,0.0,0.6086692526958954,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cabo Verde,0.09559470034896628,0.0,0.0,0.0,0.0,0.009444809005411886,0.0,0.0,0.33544626844392345,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cambodia,0.10105056492296911,0.0,0.0,0.0,0.0,0.10963621831273382,0.0,0.0,0.4277044523418573,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cameroon,0.09762321323762281,0.0,0.0,0.0,0.0,0.032677729112708186,0.0,0.0,0.3767724518724882,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Canada,0.10102753310870913,0.0,0.029824132992454778,0.0,0.0,0.004587385614872715,0.0,0.0,0.40755348218275955,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Central African Republic,0.10349600773350696,0.0,0.0,0.0,0.0,0.04531317273100953,0.0,0.0,0.5154836857496558,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Chad,0.10510389111166264,0.0,0.0,0.0,0.0,0.05004676052954778,0.0,0.0,0.5516273687895178,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Chile,0.09929917601033257,0.0,0.0,0.0,0.0,0.0002810578606614003,0.0,0.0,0.43312868408932637,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,China,0.2353416042468645,0.0275,0.04135613108287063,0.0,1.0,0.12366005130057361,0.0,0.0,0.4456016884254581,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Colombia,0.10532486755038674,0.0,0.0,0.0,0.0,0.0007893150609742501,0.0,0.0,0.5787355898695725,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Comoros,0.10121424331057416,0.0,0.0,0.0,0.0,0.05435571604086045,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
